Date,Open,High,Low,Close,Volume,Turnover
2019-10-29,9938.45,10073.55,9894.4,10060.9,,
2019-10-30,10127.95,10128.0,10047.45,10090.85,,
2019-10-31,10118.5,10186.6,10115.9,10170.65,,
2019-11-01,10182.9,10215.05,10117.75,10136.05,,
2019-11-04,10155.85,10164.65,10069.6,10103.45,,
2019-11-05,10115.25,10117.1,10030.95,10083.2,,
2019-11-06,10053.45,10096.9,10011.7,10053.65,,
2019-11-07,10102.8,10126.35,10049.15,10114.75,,
2019-11-08,10123.6,10133.8,10001.7,10010.75,,
2019-11-11,9995.5,10028.9,9954.65,9967.75,,
2019-11-13,10000.35,10021.05,9876.6,9893.8,,
2019-11-14,9911.65,9934.95,9875.55,9901.1,,
2019-11-15,9929.75,9957.55,9853.6,9864.75,,
2019-11-18,9869.15,9883.95,9795.15,9805.1,,
2019-11-19,9832.7,9834.15,9764.5,9785.7,,
2019-11-20,9808.45,9833.6,9771.9,9821.85,,
2019-11-21,9835.4,9850.3,9740.0,9752.6,,
2019-11-22,9741.7,9746.7,9636.45,9672.5,,
2019-11-25,9684.4,9814.9,9681.55,9804.4,,
2019-11-26,9837.3,9870.15,9722.6,9736.8,,
2019-11-27,9762.25,9830.2,9756.7,9822.7,,
2019-11-28,9845.45,9883.2,9813.9,9872.0,,
2019-11-29,9884.75,9895.0,9746.75,9779.65,,
2019-12-02,9789.1,9793.35,9690.3,9731.65,,
2019-12-03,9746.35,9765.4,9694.4,9716.75,,
2019-12-04,9703.95,9757.7,9687.8,9746.35,,
2019-12-05,9754.55,9775.75,9718.8,9732.5,,
2019-12-06,9755.8,9773.6,9642.1,9660.6,,
2019-12-09,9693.6,9697.4,9635.6,9645.8,,
2019-12-10,9658.95,9659.5,9568.7,9577.5,,
2019-12-11,9594.15,9614.25,9558.75,9600.9,,
2019-12-12,9634.2,9668.9,9598.5,9635.35,,
2019-12-13,9671.6,9715.4,9662.9,9709.95,,
2019-12-16,9732.4,9754.95,9657.0,9665.15,,
2019-12-17,9697.95,9740.65,9687.05,9723.75,,
2019-12-18,9738.8,9790.5,9709.75,9776.05,,
2019-12-19,9785.7,9825.9,9771.5,9810.65,,
2019-12-20,9815.75,9846.05,9807.5,9819.3,,
2019-12-23,9813.95,9863.95,9801.15,9839.55,,
2019-12-24,9853.7,9858.25,9803.85,9813.75,,
2019-12-26,9827.4,9833.65,9772.25,9779.85,,
2019-12-27,9810.9,9870.1,9784.6,9858.35,,
2019-12-30,9874.9,9919.95,9865.15,9907.6,,
2019-12-31,9903.0,9909.2,9844.7,9853.35,,
2020-01-01,9874.45,9884.3,9848.2,9854.7,,
2020-01-02,9871.05,9873.55,9833.6,9844.9,,
2020-01-03,9836.15,9851.55,9801.4,9823.5,,
2020-01-06,9800.5,9805.35,9674.5,9689.45,,
2020-01-07,9718.75,9774.35,9698.1,9711.25,,
2020-01-08,9632.75,9699.6,9620.45,9681.5,,
2020-01-09,9759.85,9781.9,9733.2,9771.9,,
2020-01-10,9807.95,9865.4,9800.3,9847.0,,
2020-01-13,9890.3,9931.25,9885.0,9927.2,,
2020-01-14,9938.7,10042.35,9928.4,10034.15,,
2020-01-15,10038.85,10113.45,10016.75,10102.25,,
2020-01-16,10113.0,10155.45,10095.85,10146.6,,
